Metric,Value
design__max_slew_violation__count__corner:max_ss_100C_1v60,1869
design__max_fanout_violation__count__corner:max_ss_100C_1v60,3328
design__max_cap_violation__count__corner:max_ss_100C_1v60,11
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.6472971231123016
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.7526210978573916
timing__hold__ws__corner:max_ss_100C_1v60,-0.13573498265109943
timing__setup__ws__corner:max_ss_100C_1v60,-7.339025594971312
timing__hold__tns__corner:max_ss_100C_1v60,-0.4749973882002607
timing__setup__tns__corner:max_ss_100C_1v60,-3632.857090422894
timing__hold__wns__corner:max_ss_100C_1v60,-0.13573498265109943
timing__setup__wns__corner:max_ss_100C_1v60,-7.339025594971312
timing__hold_vio__count__corner:max_ss_100C_1v60,8
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.887018
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,1291
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-7.339025
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,1291
timing__unannotated_net__count__corner:max_ss_100C_1v60,720
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,16
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,3328
design__max_cap_violation__count__corner:max_ff_n40C_1v95,3
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.40851020944468974
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4431594938670723
timing__hold__ws__corner:max_ff_n40C_1v95,0.10617218515989266
timing__setup__ws__corner:max_ff_n40C_1v95,7.453755157402429
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.106172
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.453755
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,720
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,720
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7993
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79989
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000701137
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000866604
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000109162
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000866604
design_powergrid__voltage__worst,0.000866604
design_powergrid__voltage__worst__net:VPWR,1.7993
design_powergrid__drop__worst,0.000866604
design_powergrid__drop__worst__net:VPWR,0.000701137
design_powergrid__voltage__worst__net:VGND,0.000866604
design_powergrid__drop__worst__net:VGND,0.000866604
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000106999999999999998757937991200606120401062071323394775390625
ir__drop__worst,0.00070100000000000001719457909388211191981099545955657958984375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
